+---------+-----------+--------+-----------+--------------------------------------------------+
| Unicode | Shift-JIS |  JIS   | Character | Description                                      |
| 0x0041  | 0x41      |        | A         | LATIN CAPITAL LETTER A                           |
| 0x0042  | 0x42      |        | B         | LATIN CAPITAL LETTER B                           |
| 0x0043  | 0x43      |        | C         | LATIN CAPITAL LETTER C                           |
| 0x0044  | 0x44      |        | D         | LATIN CAPITAL LETTER D                           |
| 0x0045  | 0x45      |        | E         | LATIN CAPITAL LETTER E                           |
| 0x0046  | 0x46      |        | F         | LATIN CAPITAL LETTER F                           |
| 0x0047  | 0x47      |        | G         | LATIN CAPITAL LETTER G                           |
| 0x0048  | 0x48      |        | H         | LATIN CAPITAL LETTER H                           |
| 0x0049  | 0x49      |        | I         | LATIN CAPITAL LETTER I                           |
| 0x004A  | 0x4A      |        | J         | LATIN CAPITAL LETTER J                           |
| 0x004B  | 0x4B      |        | K         | LATIN CAPITAL LETTER K                           |
| 0x004C  | 0x4C      |        | L         | LATIN CAPITAL LETTER L                           |
| 0x004D  | 0x4D      |        | M         | LATIN CAPITAL LETTER M                           |
| 0x004E  | 0x4E      |        | N         | LATIN CAPITAL LETTER N                           |
| 0x004F  | 0x4F      |        | O         | LATIN CAPITAL LETTER O                           |
| 0x0050  | 0x50      |        | P         | LATIN CAPITAL LETTER P                           |
| 0x0051  | 0x51      |        | Q         | LATIN CAPITAL LETTER Q                           |
| 0x0052  | 0x52      |        | R         | LATIN CAPITAL LETTER R                           |
| 0x0053  | 0x53      |        | S         | LATIN CAPITAL LETTER S                           |
| 0x0054  | 0x54      |        | T         | LATIN CAPITAL LETTER T                           |
| 0x0055  | 0x55      |        | U         | LATIN CAPITAL LETTER U                           |
| 0x0056  | 0x56      |        | V         | LATIN CAPITAL LETTER V                           |
| 0x0057  | 0x57      |        | W         | LATIN CAPITAL LETTER W                           |
| 0x0058  | 0x58      |        | X         | LATIN CAPITAL LETTER X                           |
| 0x0059  | 0x59      |        | Y         | LATIN CAPITAL LETTER Y                           |
| 0x005A  | 0x5A      |        | Z         | LATIN CAPITAL LETTER Z                           |
| 0x005B  | 0x5B      |        | [         | LEFT SQUARE BRACKET                              |
| 0x00A5  | 0x5C      |        | ¥         | YEN SIGN                                         |
| 0x005D  | 0x5D      |        | ]         | RIGHT SQUARE BRACKET                             |
| 0x005E  | 0x5E      |        | ^         | CIRCUMFLEX ACCENT                                |
| 0x005F  | 0x5F      |        | _         | LOW LINE                                         |
| 0x0060  | 0x60      |        | `         | GRAVE ACCENT                                     |
| 0x0061  | 0x61      |        | a         | LATIN SMALL LETTER A                             |
| 0x0062  | 0x62      |        | b         | LATIN SMALL LETTER B                             |
| 0x0063  | 0x63      |        | c         | LATIN SMALL LETTER C                             |
| 0x0064  | 0x64      |        | d         | LATIN SMALL LETTER D                             |
| 0x0065  | 0x65      |        | e         | LATIN SMALL LETTER E                             |
| 0x0066  | 0x66      |        | f         | LATIN SMALL LETTER F                             |
| 0x0067  | 0x67      |        | g         | LATIN SMALL LETTER G                             |
| 0x0068  | 0x68      |        | h         | LATIN SMALL LETTER H                             |
| 0x0069  | 0x69      |        | i         | LATIN SMALL LETTER I                             |
| 0x006A  | 0x6A      |        | j         | LATIN SMALL LETTER J                             |
| 0x006B  | 0x6B      |        | k         | LATIN SMALL LETTER K                             |
| 0x006C  | 0x6C      |        | l         | LATIN SMALL LETTER L                             |
| 0x006D  | 0x6D      |        | m         | LATIN SMALL LETTER M                             |
| 0x006E  | 0x6E      |        | n         | LATIN SMALL LETTER N                             |
| 0x006F  | 0x6F      |        | o         | LATIN SMALL LETTER O                             |
| 0x0070  | 0x70      |        | p         | LATIN SMALL LETTER P                             |
| 0x0071  | 0x71      |        | q         | LATIN SMALL LETTER Q                             |
| 0x0072  | 0x72      |        | r         | LATIN SMALL LETTER R                             |
| 0x0073  | 0x73      |        | s         | LATIN SMALL LETTER S                             |
| 0x0074  | 0x74      |        | t         | LATIN SMALL LETTER T                             |
| 0x0075  | 0x75      |        | u         | LATIN SMALL LETTER U                             |
| 0x0076  | 0x76      |        | v         | LATIN SMALL LETTER V                             |
| 0x0077  | 0x77      |        | w         | LATIN SMALL LETTER W                             |
| 0x0078  | 0x78      |        | x         | LATIN SMALL LETTER X                             |
| 0x0079  | 0x79      |        | y         | LATIN SMALL LETTER Y                             |
| 0x007A  | 0x7A      |        | z         | LATIN SMALL LETTER Z                             |
| 0x007B  | 0x7B      |        | {         | LEFT CURLY BRACKET                               |
| 0x007C  | 0x7C      |        | |         | VERTICAL LINE                                    |
| 0x007D  | 0x7D      |        | }         | RIGHT CURLY BRACKET                              |
| 0x203E  | 0x7E      |        | ‾         | OVERLINE                                         |
| 0x3000  | 0x8140    | 0x2121 | 　        | IDEOGRAPHIC SPACE                                |
| 0x3001  | 0x8141    | 0x2122 | 、        | IDEOGRAPHIC COMMA                                |
| 0x3002  | 0x8142    | 0x2123 | 。        | IDEOGRAPHIC FULL STOP                            |
| 0xFF0C  | 0x8143    | 0x2124 | ，        | FULLWIDTH COMMA                                  |
| 0xFF0E  | 0x8144    | 0x2125 | ．        | FULLWIDTH FULL STOP                              |
| 0x30FB  | 0x8145    | 0x2126 | ・        | KATAKANA MIDDLE DOT                              |
| 0xFF1A  | 0x8146    | 0x2127 | ：        | FULLWIDTH COLON                                  |
| 0xFF1B  | 0x8147    | 0x2128 | ；        | FULLWIDTH SEMICOLON                              |
| 0xFF1F  | 0x8148    | 0x2129 | ？        | FULLWIDTH QUESTION MARK                          |
| 0xFF01  | 0x8149    | 0x212A | ！        | FULLWIDTH EXCLAMATION MARK                       |
| 0x309B  | 0x814A    | 0x212B | ゛        | KATAKANA-HIRAGANA VOICED SOUND MARK              |
| 0x309C  | 0x814B    | 0x212C | ゜        | KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK         |
| 0x00B4  | 0x814C    | 0x212D | ´         | ACUTE ACCENT                                     |
| 0xFF40  | 0x814D    | 0x212E | ｀        | FULLWIDTH GRAVE ACCENT                           |
| 0x00A8  | 0x814E    | 0x212F | ¨         | DIAERESIS                                        |
| 0xFF3E  | 0x814F    | 0x2130 | ＾        | FULLWIDTH CIRCUMFLEX ACCENT                      |
| 0xFFE3  | 0x8150    | 0x2131 | ￣        | FULLWIDTH MACRON                                 |
| 0xFF3F  | 0x8151    | 0x2132 | ＿        | FULLWIDTH LOW LINE                               |
| 0x30FD  | 0x8152    | 0x2133 | ヽ        | KATAKANA ITERATION MARK                          |
| 0x30FE  | 0x8153    | 0x2134 | ヾ        | KATAKANA VOICED ITERATION MARK                   |
| 0x309D  | 0x8154    | 0x2135 | ゝ        | HIRAGANA ITERATION MARK                          |
| 0x309E  | 0x8155    | 0x2136 | ゞ        | HIRAGANA VOICED ITERATION MARK                   |
| 0x3003  | 0x8156    | 0x2137 | 〃        | DITTO MARK                                       |
| 0x4EDD  | 0x8157    | 0x2138 | 仝        | <CJK>                                            |
| 0x3005  | 0x8158    | 0x2139 | 々        | IDEOGRAPHIC ITERATION MARK                       |
| 0x3006  | 0x8159    | 0x213A | 〆        | IDEOGRAPHIC CLOSING MARK                         |
| 0x3007  | 0x815A    | 0x213B | 〇        | IDEOGRAPHIC NUMBER ZERO                          |
| 0x30FC  | 0x815B    | 0x213C | ー        | KATAKANA-HIRAGANA PROLONGED SOUND MARK           |
| 0x2015  | 0x815C    | 0x213D | ―         | HORIZONTAL BAR                                   |
| 0x2010  | 0x815D    | 0x213E | ‐         | HYPHEN                                           |
| 0xFF0F  | 0x815E    | 0x213F | ／        | FULLWIDTH SOLIDUS                                |
| 0x005C  | 0x815F    | 0x2140 | \         | REVERSE SOLIDUS                                  |
| 0x301C  | 0x8160    | 0x2141 | 〜        | WAVE DASH                                        |
| 0x2016  | 0x8161    | 0x2142 | ‖         | DOUBLE VERTICAL LINE                             |
| 0xFF5C  | 0x8162    | 0x2143 | ｜        | FULLWIDTH VERTICAL LINE                          |
| 0x2026  | 0x8163    | 0x2144 | …         | HORIZONTAL ELLIPSIS                              |
| 0x2025  | 0x8164    | 0x2145 | ‥         | TWO DOT LEADER                                   |
| 0x2018  | 0x8165    | 0x2146 | ‘         | LEFT SINGLE QUOTATION MARK                       |
| 0x2019  | 0x8166    | 0x2147 | ’         | RIGHT SINGLE QUOTATION MARK                      |
| 0x201C  | 0x8167    | 0x2148 | “         | LEFT DOUBLE QUOTATION MARK                       |
| 0x201D  | 0x8168    | 0x2149 | ”         | RIGHT DOUBLE QUOTATION MARK                      |
| 0xFF08  | 0x8169    | 0x214A | （        | FULLWIDTH LEFT PARENTHESIS                       |
| 0xFF09  | 0x816A    | 0x214B | ）        | FULLWIDTH RIGHT PARENTHESIS                      |
| 0x3014  | 0x816B    | 0x214C | 〔        | LEFT TORTOISE SHELL BRACKET                      |
| 0x3015  | 0x816C    | 0x214D | 〕        | RIGHT TORTOISE SHELL BRACKET                     |
| 0xFF3B  | 0x816D    | 0x214E | ［        | FULLWIDTH LEFT SQUARE BRACKET                    |
| 0xFF3D  | 0x816E    | 0x214F | ］        | FULLWIDTH RIGHT SQUARE BRACKET                   |
| 0xFF5B  | 0x816F    | 0x2150 | ｛        | FULLWIDTH LEFT CURLY BRACKET                     |
| 0xFF5D  | 0x8170    | 0x2151 | ｝        | FULLWIDTH RIGHT CURLY BRACKET                    |
| 0x3008  | 0x8171    | 0x2152 | 〈        | LEFT ANGLE BRACKET                               |
| 0x3009  | 0x8172    | 0x2153 | 〉        | RIGHT ANGLE BRACKET                              |
| 0x300A  | 0x8173    | 0x2154 | 《        | LEFT DOUBLE ANGLE BRACKET                        |
| 0x300B  | 0x8174    | 0x2155 | 》        | RIGHT DOUBLE ANGLE BRACKET                       |
| 0x300C  | 0x8175    | 0x2156 | 「        | LEFT CORNER BRACKET                              |
| 0x300D  | 0x8176    | 0x2157 | 」        | RIGHT CORNER BRACKET                             |
| 0x300E  | 0x8177    | 0x2158 | 『        | LEFT WHITE CORNER BRACKET                        |
| 0x300F  | 0x8178    | 0x2159 | 』        | RIGHT WHITE CORNER BRACKET                       |
| 0x3010  | 0x8179    | 0x215A | 【        | LEFT BLACK LENTICULAR BRACKET                    |
| 0x3011  | 0x817A    | 0x215B | 】        | RIGHT BLACK LENTICULAR BRACKET                   |
| 0xFF0B  | 0x817B    | 0x215C | ＋        | FULLWIDTH PLUS SIGN                              |
| 0x2212  | 0x817C    | 0x215D | −         | MINUS SIGN                                       |
| 0x00B1  | 0x817D    | 0x215E | ±         | PLUS-MINUS SIGN                                  |
| 0x00D7  | 0x817E    | 0x215F | ×         | MULTIPLICATION SIGN                              |
| 0x00F7  | 0x8180    | 0x2160 | ÷         | DIVISION SIGN                                    |
| 0xFF1D  | 0x8181    | 0x2161 | ＝        | FULLWIDTH EQUALS SIGN                            |
| 0x2260  | 0x8182    | 0x2162 | ≠         | NOT EQUAL TO                                     |
| 0xFF1C  | 0x8183    | 0x2163 | ＜        | FULLWIDTH LESS-THAN SIGN                         |
| 0xFF1E  | 0x8184    | 0x2164 | ＞        | FULLWIDTH GREATER-THAN SIGN                      |
| 0x2266  | 0x8185    | 0x2165 | ≦         | LESS-THAN OVER EQUAL TO                          |
| 0x2267  | 0x8186    | 0x2166 | ≧         | GREATER-THAN OVER EQUAL TO                       |
| 0x221E  | 0x8187    | 0x2167 | ∞         | INFINITY                                         |
| 0x2234  | 0x8188    | 0x2168 | ∴         | THEREFORE                                        |
| 0x2642  | 0x8189    | 0x2169 | ♂        | MALE SIGN                                        |
| 0x2640  | 0x818A    | 0x216A | ♀        | FEMALE SIGN                                      |
| 0x00B0  | 0x818B    | 0x216B | °         | DEGREE SIGN                                      |
| 0x2032  | 0x818C    | 0x216C | ′         | PRIME                                            |
| 0x2033  | 0x818D    | 0x216D | ″         | DOUBLE PRIME                                     |
| 0x2103  | 0x818E    | 0x216E | ℃         | DEGREE CELSIUS                                   |
| 0xFFE5  | 0x818F    | 0x216F | ￥        | FULLWIDTH YEN SIGN                               |
| 0xFF04  | 0x8190    | 0x2170 | ＄        | FULLWIDTH DOLLAR SIGN                            |
| 0x00A2  | 0x8191    | 0x2171 | ¢         | CENT SIGN                                        |
| 0x00A3  | 0x8192    | 0x2172 | £         | POUND SIGN                                       |
| 0xFF05  | 0x8193    | 0x2173 | ％        | FULLWIDTH PERCENT SIGN                           |
| 0xFF03  | 0x8194    | 0x2174 | ＃        | FULLWIDTH NUMBER SIGN                            |
| 0xFF06  | 0x8195    | 0x2175 | ＆        | FULLWIDTH AMPERSAND                              |
| 0xFF0A  | 0x8196    | 0x2176 | ＊        | FULLWIDTH ASTERISK                               |
| 0xFF20  | 0x8197    | 0x2177 | ＠        | FULLWIDTH COMMERCIAL AT                          |
| 0x00A7  | 0x8198    | 0x2178 | §         | SECTION SIGN                                     |
| 0x2606  | 0x8199    | 0x2179 | ☆         | WHITE STAR                                       |
| 0x2605  | 0x819A    | 0x217A | ★         | BLACK STAR                                       |
| 0x25CB  | 0x819B    | 0x217B | ○         | WHITE CIRCLE                                     |
| 0x25CF  | 0x819C    | 0x217C | ●         | BLACK CIRCLE                                     |
| 0x25CE  | 0x819D    | 0x217D | ◎         | BULLSEYE                                         |
| 0x25C7  | 0x819E    | 0x217E | ◇         | WHITE DIAMOND                                    |
| 0x25C6  | 0x819F    | 0x2221 | ◆         | BLACK DIAMOND                                    |
| 0x25A1  | 0x81A0    | 0x2222 | □         | WHITE SQUARE                                     |
| 0x25A0  | 0x81A1    | 0x2223 | ■         | BLACK SQUARE                                     |
| 0x25B3  | 0x81A2    | 0x2224 | △         | WHITE UP-POINTING TRIANGLE                       |
| 0x25B2  | 0x81A3    | 0x2225 | ▲         | BLACK UP-POINTING TRIANGLE                       |
| 0x25BD  | 0x81A4    | 0x2226 | ▽         | WHITE DOWN-POINTING TRIANGLE                     |
| 0x25BC  | 0x81A5    | 0x2227 | ▼         | BLACK DOWN-POINTING TRIANGLE                     |
| 0x203B  | 0x81A6    | 0x2228 | ※         | REFERENCE MARK                                   |
| 0x3012  | 0x81A7    | 0x2229 | 〒        | POSTAL MARK                                      |
| 0x2192  | 0x81A8    | 0x222A | →         | RIGHTWARDS ARROW                                 |
| 0x2190  | 0x81A9    | 0x222B | ←         | LEFTWARDS ARROW                                  |
| 0x2191  | 0x81AA    | 0x222C | ↑         | UPWARDS ARROW                                    |
| 0x2193  | 0x81AB    | 0x222D | ↓         | DOWNWARDS ARROW                                  |
| 0x3013  | 0x81AC    | 0x222E | 〓        | GETA MARK                                        |
| 0x2208  | 0x81B8    | 0x223A | ∈         | ELEMENT OF                                       |
| 0x220B  | 0x81B9    | 0x223B | ∋         | CONTAINS AS MEMBER                               |
| 0x2286  | 0x81BA    | 0x223C | ⊆         | SUBSET OF OR EQUAL TO                            |
| 0x2287  | 0x81BB    | 0x223D | ⊇         | SUPERSET OF OR EQUAL TO                          |
| 0x2282  | 0x81BC    | 0x223E | ⊂         | SUBSET OF                                        |
| 0x2283  | 0x81BD    | 0x223F | ⊃         | SUPERSET OF                                      |
| 0x222A  | 0x81BE    | 0x2240 | ∪         | UNION                                            |
| 0x2229  | 0x81BF    | 0x2241 | ∩         | INTERSECTION                                     |
| 0x2227  | 0x81C8    | 0x224A | ∧         | LOGICAL AND                                      |
| 0x2228  | 0x81C9    | 0x224B | ∨         | LOGICAL OR                                       |
| 0x00AC  | 0x81CA    | 0x224C | ¬         | NOT SIGN                                         |
| 0x21D2  | 0x81CB    | 0x224D | ⇒         | RIGHTWARDS DOUBLE ARROW                          |
| 0x21D4  | 0x81CC    | 0x224E | ⇔         | LEFT RIGHT DOUBLE ARROW                          |
| 0x2200  | 0x81CD    | 0x224F | ∀         | FOR ALL                                          |
| 0x2203  | 0x81CE    | 0x2250 | ∃         | THERE EXISTS                                     |
| 0x2220  | 0x81DA    | 0x225C | ∠         | ANGLE                                            |
| 0x22A5  | 0x81DB    | 0x225D | ⊥         | UP TACK                                          |
| 0x2312  | 0x81DC    | 0x225E | ⌒         | ARC                                              |
| 0x2202  | 0x81DD    | 0x225F | ∂         | PARTIAL DIFFERENTIAL                             |
| 0x2207  | 0x81DE    | 0x2260 | ∇         | NABLA                                            |
| 0x2261  | 0x81DF    | 0x2261 | ≡         | IDENTICAL TO                                     |
| 0x2252  | 0x81E0    | 0x2262 | ≒         | APPROXIMATELY EQUAL TO OR THE IMAGE OF           |
| 0x226A  | 0x81E1    | 0x2263 | ≪         | MUCH LESS-THAN                                   |
| 0x226B  | 0x81E2    | 0x2264 | ≫         | MUCH GREATER-THAN                                |
| 0x221A  | 0x81E3    | 0x2265 | √         | SQUARE ROOT                                      |
| 0x223D  | 0x81E4    | 0x2266 | ∽         | REVERSED TILDE                                   |
| 0x221D  | 0x81E5    | 0x2267 | ∝         | PROPORTIONAL TO                                  |
| 0x2235  | 0x81E6    | 0x2268 | ∵         | BECAUSE                                          |
| 0x222B  | 0x81E7    | 0x2269 | ∫         | INTEGRAL                                         |
| 0x222C  | 0x81E8    | 0x226A | ∬         | DOUBLE INTEGRAL                                  |
| 0x212B  | 0x81F0    | 0x2272 | Å         | ANGSTROM SIGN                                    |
| 0x2030  | 0x81F1    | 0x2273 | ‰         | PER MILLE SIGN                                   |
| 0x266F  | 0x81F2    | 0x2274 | ♯         | MUSIC SHARP SIGN                                 |
| 0x266D  | 0x81F3    | 0x2275 | ♭         | MUSIC FLAT SIGN                                  |
| 0x266A  | 0x81F4    | 0x2276 | ♪         | EIGHTH NOTE                                      |
| 0x2020  | 0x81F5    | 0x2277 | †         | DAGGER                                           |
| 0x2021  | 0x81F6    | 0x2278 | ‡         | DOUBLE DAGGER                                    |
| 0x00B6  | 0x81F7    | 0x2279 | ¶         | PILCROW SIGN                                     |
| 0x25EF  | 0x81FC    | 0x227E | ◯         | LARGE CIRCLE                                     |
| 0xFF10  | 0x824F    | 0x2330 | ０        | FULLWIDTH DIGIT ZERO                             |
| 0xFF11  | 0x8250    | 0x2331 | １        | FULLWIDTH DIGIT ONE                              |
| 0xFF12  | 0x8251    | 0x2332 | ２        | FULLWIDTH DIGIT TWO                              |
| 0xFF13  | 0x8252    | 0x2333 | ３        | FULLWIDTH DIGIT THREE                            |
| 0xFF14  | 0x8253    | 0x2334 | ４        | FULLWIDTH DIGIT FOUR                             |
| 0xFF15  | 0x8254    | 0x2335 | ５        | FULLWIDTH DIGIT FIVE                             |
| 0xFF16  | 0x8255    | 0x2336 | ６        | FULLWIDTH DIGIT SIX                              |
| 0xFF17  | 0x8256    | 0x2337 | ７        | FULLWIDTH DIGIT SEVEN                            |
| 0xFF18  | 0x8257    | 0x2338 | ８        | FULLWIDTH DIGIT EIGHT                            |
| 0xFF19  | 0x8258    | 0x2339 | ９        | FULLWIDTH DIGIT NINE                             |
| 0xFF21  | 0x8260    | 0x2341 | Ａ        | FULLWIDTH LATIN CAPITAL LETTER A                 |
| 0xFF22  | 0x8261    | 0x2342 | Ｂ        | FULLWIDTH LATIN CAPITAL LETTER B                 |
| 0xFF23  | 0x8262    | 0x2343 | Ｃ        | FULLWIDTH LATIN CAPITAL LETTER C                 |
| 0xFF24  | 0x8263    | 0x2344 | Ｄ        | FULLWIDTH LATIN CAPITAL LETTER D                 |
| 0xFF25  | 0x8264    | 0x2345 | Ｅ        | FULLWIDTH LATIN CAPITAL LETTER E                 |
| 0xFF26  | 0x8265    | 0x2346 | Ｆ        | FULLWIDTH LATIN CAPITAL LETTER F                 |
| 0xFF27  | 0x8266    | 0x2347 | Ｇ        | FULLWIDTH LATIN CAPITAL LETTER G                 |
| 0xFF28  | 0x8267    | 0x2348 | Ｈ        | FULLWIDTH LATIN CAPITAL LETTER H                 |
| 0xFF29  | 0x8268    | 0x2349 | Ｉ        | FULLWIDTH LATIN CAPITAL LETTER I                 |
| 0xFF2A  | 0x8269    | 0x234A | Ｊ        | FULLWIDTH LATIN CAPITAL LETTER J                 |
| 0xFF2B  | 0x826A    | 0x234B | Ｋ        | FULLWIDTH LATIN CAPITAL LETTER K                 |
| 0xFF2C  | 0x826B    | 0x234C | Ｌ        | FULLWIDTH LATIN CAPITAL LETTER L                 |
| 0xFF2D  | 0x826C    | 0x234D | Ｍ        | FULLWIDTH LATIN CAPITAL LETTER M                 |
| 0xFF2E  | 0x826D    | 0x234E | Ｎ        | FULLWIDTH LATIN CAPITAL LETTER N                 |
| 0xFF2F  | 0x826E    | 0x234F | Ｏ        | FULLWIDTH LATIN CAPITAL LETTER O                 |
| 0xFF30  | 0x826F    | 0x2350 | Ｐ        | FULLWIDTH LATIN CAPITAL LETTER P                 |
| 0xFF31  | 0x8270    | 0x2351 | Ｑ        | FULLWIDTH LATIN CAPITAL LETTER Q                 |
| 0xFF32  | 0x8271    | 0x2352 | Ｒ        | FULLWIDTH LATIN CAPITAL LETTER R                 |
| 0xFF33  | 0x8272    | 0x2353 | Ｓ        | FULLWIDTH LATIN CAPITAL LETTER S                 |
| 0xFF34  | 0x8273    | 0x2354 | Ｔ        | FULLWIDTH LATIN CAPITAL LETTER T                 |
| 0xFF35  | 0x8274    | 0x2355 | Ｕ        | FULLWIDTH LATIN CAPITAL LETTER U                 |
| 0xFF36  | 0x8275    | 0x2356 | Ｖ        | FULLWIDTH LATIN CAPITAL LETTER V                 |
| 0xFF37  | 0x8276    | 0x2357 | Ｗ        | FULLWIDTH LATIN CAPITAL LETTER W                 |
| 0xFF38  | 0x8277    | 0x2358 | Ｘ        | FULLWIDTH LATIN CAPITAL LETTER X                 |
| 0xFF39  | 0x8278    | 0x2359 | Ｙ        | FULLWIDTH LATIN CAPITAL LETTER Y                 |
| 0xFF3A  | 0x8279    | 0x235A | Ｚ        | FULLWIDTH LATIN CAPITAL LETTER Z                 |
| 0xFF41  | 0x8281    | 0x2361 | ａ        | FULLWIDTH LATIN SMALL LETTER A                   |
| 0xFF42  | 0x8282    | 0x2362 | ｂ        | FULLWIDTH LATIN SMALL LETTER B                   |
| 0xFF43  | 0x8283    | 0x2363 | ｃ        | FULLWIDTH LATIN SMALL LETTER C                   |
| 0xFF44  | 0x8284    | 0x2364 | ｄ        | FULLWIDTH LATIN SMALL LETTER D                   |
| 0xFF45  | 0x8285    | 0x2365 | ｅ        | FULLWIDTH LATIN SMALL LETTER E                   |
| 0xFF46  | 0x8286    | 0x2366 | ｆ        | FULLWIDTH LATIN SMALL LETTER F                   |
| 0xFF47  | 0x8287    | 0x2367 | ｇ        | FULLWIDTH LATIN SMALL LETTER G                   |
| 0xFF48  | 0x8288    | 0x2368 | ｈ        | FULLWIDTH LATIN SMALL LETTER H                   |
| 0xFF49  | 0x8289    | 0x2369 | ｉ        | FULLWIDTH LATIN SMALL LETTER I                   |
| 0xFF4A  | 0x828A    | 0x236A | ｊ        | FULLWIDTH LATIN SMALL LETTER J                   |
| 0xFF4B  | 0x828B    | 0x236B | ｋ        | FULLWIDTH LATIN SMALL LETTER K                   |
| 0xFF4C  | 0x828C    | 0x236C | ｌ        | FULLWIDTH LATIN SMALL LETTER L                   |
| 0xFF4D  | 0x828D    | 0x236D | ｍ        | FULLWIDTH LATIN SMALL LETTER M                   |
| 0xFF4E  | 0x828E    | 0x236E | ｎ        | FULLWIDTH LATIN SMALL LETTER N                   |
| 0xFF4F  | 0x828F    | 0x236F | ｏ        | FULLWIDTH LATIN SMALL LETTER O                   |
| 0xFF50  | 0x8290    | 0x2370 | ｐ        | FULLWIDTH LATIN SMALL LETTER P                   |
| 0xFF51  | 0x8291    | 0x2371 | ｑ        | FULLWIDTH LATIN SMALL LETTER Q                   |
| 0xFF52  | 0x8292    | 0x2372 | ｒ        | FULLWIDTH LATIN SMALL LETTER R                   |
| 0xFF53  | 0x8293    | 0x2373 | ｓ        | FULLWIDTH LATIN SMALL LETTER S                   |
| 0xFF54  | 0x8294    | 0x2374 | ｔ        | FULLWIDTH LATIN SMALL LETTER T                   |
| 0xFF55  | 0x8295    | 0x2375 | ｕ        | FULLWIDTH LATIN SMALL LETTER U                   |
| 0xFF56  | 0x8296    | 0x2376 | ｖ        | FULLWIDTH LATIN SMALL LETTER V                   |
| 0xFF57  | 0x8297    | 0x2377 | ｗ        | FULLWIDTH LATIN SMALL LETTER W                   |
| 0xFF58  | 0x8298    | 0x2378 | ｘ        | FULLWIDTH LATIN SMALL LETTER X                   |
| 0xFF59  | 0x8299    | 0x2379 | ｙ        | FULLWIDTH LATIN SMALL LETTER Y                   |
| 0xFF5A  | 0x829A    | 0x237A | ｚ        | FULLWIDTH LATIN SMALL LETTER Z                   |
| 0x3041  | 0x829F    | 0x2421 | ぁ        | HIRAGANA LETTER SMALL A                          |
| 0x3042  | 0x82A0    | 0x2422 | あ        | HIRAGANA LETTER A                                |
| 0x3043  | 0x82A1    | 0x2423 | ぃ        | HIRAGANA LETTER SMALL I                          |
| 0x3044  | 0x82A2    | 0x2424 | い        | HIRAGANA LETTER I                                |
| 0x3045  | 0x82A3    | 0x2425 | ぅ        | HIRAGANA LETTER SMALL U                          |
| 0x3046  | 0x82A4    | 0x2426 | う        | HIRAGANA LETTER U                                |
| 0x3047  | 0x82A5    | 0x2427 | ぇ        | HIRAGANA LETTER SMALL E                          |
| 0x3048  | 0x82A6    | 0x2428 | え        | HIRAGANA LETTER E                                |
| 0x3049  | 0x82A7    | 0x2429 | ぉ        | HIRAGANA LETTER SMALL O                          |
| 0x304A  | 0x82A8    | 0x242A | お        | HIRAGANA LETTER O                                |
